Hebrew,Niqqud,Transliteration,Translation,Niqqud_Length
תתגעגענה,תִּתְגַּעְגַּעְנָה,titga‘ga‘na,"you/they (f, p) will miss",18
יתגעגעו,יִתְגַּעְגְּעוּ,yitga‘gᵉ‘u,they will miss,15
אתקשר,אֶתְקַשֵּׁר,’etqashsher,I will call,11
תתקשר,תִּתְקַשֵּׁר,titqashsher,"you (m, s), she will call",12
תתקשרי,תִּתְקַשְּׁרִי,titqashshᵉri,"you (f, s) will call",14
יתקשר,יִתְקַשֵּׁר,yitqashsher,he will call,11
נתקשר,נִתְקַשֵּׁר,nitqashsher,we will call,11
תתקשרו,תִּתְקַשְּׁרוּ,titqashshᵉru,you (p) will call,14
תתקשרנה,תִּתְקַשֵּׁרְנָה,titqashsherᵉna,"you/they (f, p) will call",16
יתקשרו,יִתְקַשְּׁרוּ,yitqashshᵉru,they will call,13
אשתמש,אֶשְׁתַּמֵּשׁ,’eshtammesh,I will use,13
תשתמש,תִּשְׁתַּמֵּשׁ,tishtammesh,"you (m, s), she will use",14
תשתמשי,תִּשְׁתַּמְּשִׁי,tishtammᵉshi,"you (f, s) will use",16
ישתמש,יִשְׁתַּמֵּשׁ,yishtammesh,he will use,13
נשתמש,נִשְׁתַּמֵּשׁ,nishtammesh,we will use,13
תשתמשו,תִּשְׁתַּמְּשׁוּ,tishtammᵉshu,you (p) will use,16
תשתמשנה,תִּשְׁתַּמֵּשְׁנָה,tishtammeshᵉna,"you/they (f, p) will use",18
ישתמשו,יִשְׁתַּמְּשׁוּ,yishtamᵉshu,they will use,15
אסתכל,אֶסְתַּכֵּל,’estakkel,I will look,11
תסתכל,תִּסְתַּכֵּל,tistakkel,"you (m, s), she will look",12
אסתכלי,תִּסְתַּכְּלִי,tistakkᵉli,"you (f, s) will look",14
יסתכל,יִסְתַּכֵּל,yistakkel,he will look,11
נסתכל,נִסְתַּכֵּל,nistakkel,we will look,11
תסתכלו,תִּסְתַּכְּלוּ,tistakkᵉlu,you (p) will look,14
תסתכלנה,תִּסְתַּכֵּלְנָה,tistakkelᵉna,"you/they (f, p)  will look",16
יסתכלו,יִסְתַּכְּלוּ,yistakkᵉlu,they will look,13
אתקרב,אֶתְקָרֵב,’etqarev,"I will approach, come closer",9
תתקרב,תִּתְקָרֵב,titqarev,"you (m, s), she will approach, come closer",10
תתקרבי,תִּתְקָרְבִי,titqarᵉvi,"you (f, s) will approach, come closer",12
יתקרב,יִתְקָרֵב,yitqarev,"he will approach, come closer",9
נתקרב,נִתְקָרֵב,nitqarev,"we will approach, come closer",9
תתקרבו,תִּתְקָרְבוּ,titqarᵉvu,"you (p) will approach, come closer",12
תתקרבנה,תִּתְקָרֵבְנָה,titqarevᵉna,"you/they (f, p) will approach, come closer",14
יתקרבו,יִתְקָרְבוּ,yitqarᵉvu,"they will approach, come closer",11
אשתנה,אֶשְׁתַּנֶּה,’eshtanne,I will change (myself),12
תשתנה,תִּשְׁתַּנֶּה,tishtanne,"you (m, s), she will change (yourself, herself)",13
תשתני,תִּשְׁתַּנִּי,tishtanni,"you (f, s) will change (yourself)",13
ישתנה,יִשְׁתַּנֶּה,yishtanne,he will change (himself),12
נשתנה,נִשְׁתַּנֶּה,nishtanne,we will change (ourselves),12
תשתנו,תִּשְׁתַּנּוּ,tishtannu,you (p) will change (yourselves),13
תשתנינה,תִּשְׁתַּנֶּינָה,tishtannena,"you/they (f, p) will change (yourselves, themselves)",16
ישתנו,יִשְׁתַּנּוּ,yishtannu,they will change (themselves),12
אשנה,אֲשַׁנֶּה,’ashanne,I will change (something),9
תשנֵה,תְּשַׁנֶּה,tᵉshanne,"you (m, s), she will change",10
תשנֵי,תְּשַׁנִּי,tᵉshanni,"you (f, s) will change",10
ישנֵה,יְשַׁנֶּה,yᵉshanne,he will change,9
נשנה,נְשַׁנֶּה,nᵉshanne,we will change,9
תשנו,תְּשַׁנּוּ,tᵉshannu,you (p) will change,10
תשנינה,תְּשַׁנֶּינָה,tᵉshannena,"you/they (f, p) will change",13
ישנו,יְשַׁנּוּ,yᵉshannu,they will change,9
אסכים,אַסְכִּים,’askim,I will agree,9
תסכים,תַּסְכִּים,taskim,"you (m, s), she will agree",10
תסכימי,תַּסְכִּימִי,taskimi,"you (f, s) will agree",12
יסכים,יַסְכִּים,yaskim,he will agree,9
נסכים,נַסְכִּים,naskim,we will agree,9
תסכימו,תַּסְכִּימוּ,taskimu,you (p) will agree,12
תסכמנה,תַּסְכֵּמְנָה,taskemᵉna,"you/they (f, p) will agree",13
יסכימו,יַסְכִּימוּ,yaskimu,they will agree,11
אחליט,אַחְלִיט,’aḥlit,I will decide,8
תחליט,תַּחְלִיט,taḥlit,"you (m, s), she will decide",9
תחליטי,תַּחְלִיטִי,taḥliti,"you (f, s) will decide",11
יחליט,יַחְלִיט,yaḥlit,he will decide,8
נחליט,נַחְלִיט,naḥlit,we will decide,8
תחליטו,תַּחְלִיטוּ,taḥlitu,you (p) will decide,11
תחליטנה,תַּחְלֵטְנָה,taḥletᵉna,"you/they (f, p) will decide",12
יחליטו,יַחְלִיטוּ,yaḥlitu,they will decide,10
אשלח,אֶשְׁלַח,’eshlaḥ,I will send,8
תשלח,תִּשְׁלַח,tishlaḥ,"you (m, s), she will send",9
תשלחי,תִּשְׁלְחִי,tishlᵉḥi,"you (f, s) will send",11
ישלח,יִשְׁלַח,yishlaḥ,he will send,8
נשלח,נִשְׁלַח,nishlaḥ,we will send,8
תשלחו,תִּשְׁלְחוּ,tishlᵉḥu,you (p) will send,11
תשלחנה,תִּשְׁלַחְנָה,tishlaḥna,"you/they (f, p) will send",13
ישלחו,יִשְׁלָחוּ,yishlaḥu,they will send,10
אזמין,אַזְמִין,’azmin,I will invite,8
תזמין,תַּזְמִין,tazmin,"you (m, s), she will invite",9
תזמיני,תַּזְמִינִי,tazmini,"you (f, p) will invite",11
יזמין,יַזְמִין,yazmin,he will invite,8
נזמין,נַזְמִין,nazmin,we will invite,8
תזמינו,תַּזְמִינוּ,tazminu,you (p) will invite,11
תזמינה,תַּזְמֵנָּה,tazmenna,"you/they (f, p) will invite",11
יזמינו,יַזְמִינוּ,yazminu,they will invite,10
אזכיר,אַזְכִּיר,’azkir,I will remind,9
תזכיר,תַּזְכִּיר,tazkir,"you (m, s), she will remind",10
תזכירי,תַּזְכִּירִי,tazkiri,"you (f, s) will remind",12
יזכיר,יַזְכִּיר,yazkir,he will remind,9
נזכיר,נַזְכִּיר,nazkir,we will remind,9
תזכירו,תַּזְכִּירוּ,tazkiru,you (p) will remind,12
תזכירנה,תַּזְכֵּרְנָה,tazkerᵉna,"you/they (f, p) will remind",13
יזכירו,יַזְכִּירוּ,yazkiru,they will remind,11
אבין,אָבִין,’avin,I will understand,6
תבין,תָּבִין,tavin,"you (m, s) she will understand",7
תביני,תָּבִינִי,tavini,"you (f, s) will understand",9
יבין,יָבִין,yavin,he will understand,6
נבינו,נָבִין,navin,we will understand,6
תבינו,תָּבִינוּ,tavinu,you (p) will understand,9
תבנה,תָּבֵנָּה,tavenna,"you/they (f, p) will understand",9
יבינו,יָבִינוּ,yavinu,they will understand,8
אגיע,אָגִיעַ,’agia‘,I will arrive,7
תגיע,תַּגִּיעַ,taggia‘,"you (m, s), she will arrive",9
תגיעי,תַּגִּיעִי,taggi‘i,"you (f, s) will arrive",10
יגיע,יַגִּיעַ,yaggia‘,he will arrive,8
נגיעו,נַגִּיעַ,naggia‘,we will arrive,8
תגיעו,תַּגִּיעוּ,taggi‘u,you (p) will arrive,10
תגיעונה,תַּגַּעְנָה,tagga‘na,"you/they (f, p) will arrive",11
יגיעו,יָגִיעוּ,yagi‘u,they will arrive,8
אגיד,אַגִּיד,’aggid,"I will say, tell",7
תגיד,תָּגִיד,taggid,"you (m, s), she will say, tell",7
תגידי,תַּגִּידִי,taggidi,"you (f, s) will say, tell",10
יגיד,יַגִּיד,yaggid,"he will say, tell",7
נגיד,נַגִּיד,naggid,"we will say, tell",7
תגידו,תַּגִּידוּ,taggidu,"you (p) will say, tell",10
תגידנה,תַּגֵּדְנָה,taggedᵉna,"you/they (f, p) will say, tell",11
יגידו,יַגִּידוּ,yaggidu,"they will say, tell",9
אסביר,אַסְבִּיר,’asbir,I will explain,9
תסביר,תַּסְבִּיר,tasbir,"you (m, s) will explain",10
תסבירי,תַּסְבִּירִי,tasbiri,"you (f, s) will explain",12
יסביר,יַסְבִּיר,yasbir,he will explain,9
נסביר,נַסְבִּיר,nasbir,we  will explain,9
תסבירו,תַּסְבִּירוּ,tasbiru,you (p) will explain,12
תסבירנה,תַּסְבֵּרְנָה,tasberᵉna,"you/they (f, p) will explain",13
יסבירו,יַסְבִּירוּ,yasbiru,they will explain,11
אקשיב,אַקְשִׁיב,’aqshiv,I will listen,9
תקשיב,תַּקְשִׁיב,taqshiv,"you (m, s), she will listen",10
תקשיבי,תַּקְשִׁיבִי,taqshivi,"you (f, s) will listen",12
יקשיב,יַקְשִׁיב,yaqshiv,he will listen,9
נקשיב,נַקְשִׁיב,naqshiv,we will listen,9
תקשיבו,תַּקְשִׁיבוּ,taqshivu,you (p) will listen,12
יקשיבנה,תַּקְשֵׁבְנָה,taqshevᵉna,"you/they (f, p) will listen",13
יקשיבו,יַקְשִׁיבוּ,yaqshivu,they will listen,11
אראה,אַרְאֶה,’ar’e,I will show,7
תראה,תַּרְאֶה,tar’e,"you (m, s), she will show",8
תראי,תַּרְאִי,tar’i,"you (f, s) will show",8
יראה,יַרְאֶה,yar’e,he will show,7
נראה,נַרְאֶה,nar’e,we will show,7
תראו,תַּרְאוּ,tar’u,you (p) will show,8
תראינה,תַּרְאֶינָה,tar’ena,"you/they (f, p) will show",11
יַראו,יַרְאוּ,yar’u,they will show,7
אתחיל,אַתְחִיל,’atḥil,I will start/begin,8
תתחיל,תָּתְחִיל,tatḥil,"you (m, s), she will start/begin",9
תתחילי,תַּתְחִילִי,tatḥili,"you (f, s) will start/begin",11
יתחיל,יַתְחִיל,yatḥil,he will start/begin,8
נתחיל,נַתְחִיל,natḥil,we will start/begin,8
תתחילו,תַּתְחִילוּ,tatḥilu,you (p) will start/begin,11
תתחילנה,תַּתְחֵלְנָה,tatḥelᵉna,"you/they (f, p) will start/begin",12
יתחילו,יַתְחִילוּ,yatḥilu,they will start/begin,10
אראה,אֶרְאֶה,’er’e,I will see,7
תראה,תִּרְאֶה,tir’e,"you (m, s), she will see",8
תראי,תִּרְאִי,tir’i,"you (f, s) will see",8
יראה,יִרְאֶה,yir’e,he will see,7
נראה,נִרְאֶה,nir’e,we will see,7
תראו,תִּרְאוּ,tir’u,you (p) will see,8
תראינה,תִּרְאֶינָה,tir’ena,"you/they (f, p) will see",11
יראו,יִרְאוּ,yir’u,they will see,7
אאשר,אֲאַשֵּׁר,’a’ashsher,I will approve,9
תאשר,תְּאַשֵּׁר,tᵉ’ashsher,"you (m, s), she will approve",10
תאשרי,תְּאַשְּׁרִי,tᵉ’ashshᵉri,"you (f, s) will approve",12
יאשר,יְאַשֵּׁר,yᵉ’ashsher,he will approve,9
נאשר,נְאַשֵּׁר,nᵉ’ashsher,we will approve,9
תאשרו,תְּאַשְּׁרוּ,tᵉ’ashshᵉru,you (p) will approve,12
תאשרנה,תְּאַשֵּׁרְנָה,tᵉ’ashsherᵉna,"you/they (f, p) will approve",14
יאשרו,יְאַשְּׁרוּ,yᵉ’ashshᵉru,they will approve,11
אבקר,אֲבַקֵּר,’avaqqer,I will visit,8
תבקר,תְּבַקֵּר,tᵉvaqqer,"you (m, s), she will visit",9
תבקרי,תְּבַקְּרִי,tᵉvaqqᵉri,"you (f, s) will visit",11
יבקר,יְבַקֵּר,yᵉvaqqer,he will visit,8
נבקר,נְבַקֵּר,nᵉvaqqer,we will visit,8
תבקרו,תְּבַקְּרוּ,tᵉvaqqᵉru,you (p) will visit,11
תבקרנה,תְּבַקֵּרְנָה,tᵉvaqqerᵉna,"you/they (f, p) will visit",13
יבקרו,יְבַקְּרוּ,yᵉvaqqᵉru,they will visit,10
אחפש,אֲחַפֵּשׂ,’aḥappes,I will look for,9
תחפש,תְּחַפֵּשׂ,tᵉḥappes,"you (m, s), she look for",10
תחפשי,תְּחַפְּשִׂי,tᵉḥappᵉsi,"you (f, s) will look for",12
יחפש,יְחַפֵּשׂ,yᵉḥappes,he will look for,9
נחפש,נְחַפֵּשׂ,nᵉḥappes,we will look for,9
תחפשו,תְּחַפְּשׂוּ,tᵉḥappᵉsu,you (p) will look for,12
תחפשנה,תְּחַפֵּשְׂנָה,tᵉḥappesᵉna,"you/they (f, p) will look for",14
אחפשו,יְחַפְּשׂוּ,yᵉḥappᵉsu,they will look for,11
אדבר,אֲדַבֵּר,’adabber,I will speak,8
תדבר,תְּדַבֵּר,tᵉdabber,"you (m, s), she will speak",9
תדברי,תְּדַבְּרִי,tᵉdabbᵉri,"you (f, s) will speak",11
ידבר,יְדַבֵּר,yᵉdabber,he will speak,8
נדבר,נְדַבֵּר,nᵉdabber,we will speak,8
תדברו,תְּדַבְּרוּ,tᵉdabbᵉru,you (p) will speak,11
תדברנה,תְּדַבֵּרְנָה,tᵉdabberᵉna,"you/they (f, p) will speak",13
ידברו,יְדַבְּרוּ,yᵉdabbᵉru,they will speak,10
אשלם,אֲשַׁלֵּם,’ashallem,I will pay,9
תשלם,תְּשַׁלֵּם,tᵉshallem,"you (m, s), she will pay",10
תשלמי,תְּשַׁלְּמִי,tᵉshallᵉmi,"you (f, s) will pay",12
ישלם,יְשַׁלֵּם,yᵉshallem,he will pay,9
נשלם,נְשַׁלֵּם,nᵉshallem,we will pay,9
תשלמו,תְּשַׁלְּמוּ,tᵉshallᵉmu,you (p) will pay,12
תשלמנה,תְּשַׁלֵּמְנָה,tᵉshallemᵉna,"you/they (f, p) will pay",14
ישלמו,יְשַׁלְּמוּ,yᵉshallᵉmu,they will pay,11
אנסה,אֲנַסֶּה,’anasse,I will try,8
תנסה,תְּנַסֶּה,tᵉnasse,"you (m, s), she will try",9
תנסי,תְּנַסִּי,tᵉnassi,"you (f, s) will try",9
ינסה,יְנַסֶּה,yᵉnasse,he will try,8
ננסה,נְנַסֶּה,nᵉnasse,we will try,8
תנסו,תְּנַסּוּ,tᵉnassu,you (p) will try,9
תנסינה,תְּנַסֶּינָה,tᵉnassena,"you/they (f, p) will try",12
ינסו,יְנַסּוּ,yᵉnassu,They you will try,8
אוהַב,אֹהַב,’ohav,I will love,5
תאהב,תֹּאהַב,to’hav,"you (m, s), she will love",7
תאהבי,תֹּאהֲבִי,to’havi,"you (f, s) will love",9
יאהב,יֹאהַב,yo’hav,he will love,6
נאהב,נֹאהַב,no’hav,we will love,6
תאהבו,תֹּאהֲבוּ,to’havu,you (p) will love,9
תאהבנה,תֹּאהַבְנָה,to’havna,"you/they (f, p) will love",11
יאהבו,יֹאהֲבוּ,yo’havu,they will love,8
אלך,אֵלֵךְ,’elekh,I will go,6
תלך,תֵּלֵךְ,telekh,"you (m, s), she will go",7
תלכי,תֵּלְכִי,telᵉkhi,"you (f, s) will go",8
ילך,יֵלֵךְ,yelekh,he will go,6
נלך,נֵלֵךְ,nelekh,we will go,6
תלכו,תֵּלְכוּ,telᵉkhu,you (p) will go,8
תלכנה,תֵּלֵכְנָה,telekhᵉna,"you/they (f, p) will go",10
ילכו,יֵלְכוּ,yelkhu,they will go,7
אעמוד,אֶעֱמֹד,’e‘emod,I will stand,7
תעמוד,תַּעֲמוֹד,ta‘amod,"you (m, s), she will stand",9
אעמדי,תַּעַמְדִי,ta‘amdi,"you (f, s) will stand",10
יעמוד,יַעֲמֹד,ya‘amod,he will stand,7
נעמוד,נַעֲמוֹד,na‘amod,we will stand,8
תעמדו,תַּעַמְדוּ,ta‘amdu,you (p) will stand,10
תעמודנה,תַּעֲמֹדְנָה,ta‘amodᵉna,"you/they (f, p) will stand",12
יעמדו,יַעַמְדוּ,ya‘amdu,they will stand,9
אתן,אֶתֵּן,’etten,I will give,6
תיתן,תִּתֵּן,titten,"you (m, s), she will give",7
תיתני,תִּתְּנִי,tittᵉni,"you (f, s) will give",9
יתן,יִתֵּן,yitten,he will give,6
ניתן,נִתֵּן ,nitten,we will give,7
תיתנו,תִּתְּנוּ,tittᵉnu,you (p) will give,9
תיתנה,תִּתֵּנָּה,tittenna,"you/they (f, p) will give",10
ייתנו,יִתְּנוּ,yittᵉnu,they you will give,8
אחשוב,אֶחְשֹׁב,’eḥshov,I will think,8
תחשוב,תַּחְשׁוֹב,taḥshov,"you (m, s), she will think",10
תחשבי,תַּחְשְׁבִי,taḥshᵉvi,"you (f, s) will think",11
יחשוב,יַחְשׁוֹב,yaḥshov,he will think,9
נחשוב,נַחְשֹׁב,naḥshov,we will think,8
תחשבו,תַּחְשְׁבוּ,taḥshᵉvu,you (p) will think,11
תחשובנה,תַּחְשֹׁבְנָה,taḥshovᵉna,"you/they (f, p) will think",13
יחשבו,יַחְשְׁבוּ,yaḥshᵉvu,they will think,10
אעשה,אֶעֱשֶׂה,’e‘ese,I will do,8
תעשה,תַּעֲשֶׂה,ta‘ase,"you (m, s), she will do",9
תעשי,תַּעֲשִׂי,ta‘asi,"you (f, s) will do",9
יעשה,יַעֲשֶׂה,ya‘ase,he will do,8
נעשה,נַעֲשֶׂה,na‘ase,we will do,8
תעשו,תַּעֲשׂוּ,ta‘asu,you (p) will do,9
תעשינה,תַּעֲשֶׂינָה,ta‘asena,"you/they (f, p) will do",12
יעשו,יַעֲשׂוּ,ya‘asu,they will do,8
אוכָל,אוֹכָל,’okhal,I will eat,6
תאכל,תֹּאכַל,to’khal,"you (m, s), she will eat",7
תאכלי,תֹּאכְלִי,to’khᵉli,"you (f, s) will eat",9
יאכל,יֹאכַל,yo’khal,he will eat,6
נאכל,נֹאכַל,no’khal,we will eat,6
תאכלו,תֹּאכְלוּ,to’khᵉlu,you (p) will eat,9
תאכלנה,תֹּאכַלְנָה,to’khalna,"you/they (f, p) will eat",11
יאכלו,יֹאכְלוּ,yo’khlu,they will eat,8
אשתה,אֶשְׁתֶּה,’eshte,I will drink,9
תשתה,תִּשְׁתֶּה,tishte,"you (m, s), she will drink",10
תשתי,תִּשְׁתִּי,tishti,"you (f, s) will drink",10
ישתה,יִשְׁתֶּה,yishte,he will drink,9
נשתה,נִשְׁתֶּה,nishte,we will drink,9
תשתו,תִּשְׁתּוּ,tishtu,you (p) will drink,10
תשתינה,תִּשְׁתֶּינָה,tishtena,"you/they (f, p) will drink",13
ישתו,יִשְׁתּוּ,yishtu,they will drink,9
עתיד,עָתִיד,‘atid,future,6
אכול,אָכוּל,’akhul,"eaten (m, s)",6
אכולה,אֲכוּלָה,’akhula,"eaten (f, s)",8
אכולים,אֲכוּלִים,’akhulim,"eaten (m, p)",9
אכולות,אֲכוּלוֹת,’akhulot,"eaten (f, p)",9
רצוי,רָצוּי,ratzuy,"wanted, desirable (m, s)",6
רצויה,רְצוּיָה,rᵉtzuya,"wanted, desirable (f, s)",8
רצויים,רְצוּיִים,rᵉtzuyim,"wanted, desirable (m, p)",9
רצויות,רְצוּיוֹת,rᵉtzuyot,"wanted, desirable (f, p)",9
מוחלט,מֻחְלָט,muḥlat,"definitive, total (m, s)",7
מוחלטת,מָחְלֶטֶת,muḥletet,"definitive, total (f, s)",9
מוחלטים,מֻחְלָטִים,muḥlatim,"definitive, total (m, p)",10
מוחלטתות,מֻחְלָטוֹת,muḥlatot,"definitive, total (f, p)",10
מודאג,מֻדְאָג,muda’g,"worried (m, s)",7
מודאגת,מֻדְאֶגֶת,mud’eget,"worried (f, s)",9
מודאגים,מֻדְאָגִים,muda’gim,"worried (m, p)",10
מודאגות,מֻדְאָגוֹת,mud’agot,"worried (f, p)",10
מותאם,מֻתְאָם,mut’am,"fitted, adapted (m, s)",7
מותאמת,מֻתְאֶמֶת,mut’amet,"fitted, adapted (f, s)",9
מותאמים,מֻתְאָמִים,mut’amim,"fitted, adapted (m, p)",10
מותאמות,מֻתְאָמוֹת,mut’amot,"fitted, adapted (f, p)",10
מוגבל,מֻגְבָּל,mugbal,"restricted, limited (m, s)",8
מוגבלת,מֻגְבֶּלֶת,mugbelet,"restricted, limited (f, s)",10
